60;48;
1;1;17;6;2;7;6;2;2;2;6;2;6;0;4;0;;;;;;;;
2;2;24;6;3;6;5;2;4;4;2;3;;;;;;;;;;;;
3;3;30;6;4;2;1;1;7;5;6;0;8;2;6;3;;;;;;;;
4;4;27;9;;;;;;;;;;;;;;;;;;;;
5;5;15;11;6;8;1;2;6;4;1;2;10;1;5;1;10;7;5;1;;;;
6;6;17;11;;;;;;;;;;;;;;;;;;;;
7;7;30;13;8;3;6;2;12;0;6;1;;;;;;;;;;;;
8;8;37;13;9;7;3;2;11;1;3;3;;;;;;;;;;;;
9;9;41;13;11;0;3;0;;;;;;;;;;;;;;;;
10;10;9;17;14;0;6;0;14;8;6;0;;;;;;;;;;;;
11;11;41;17;13;5;3;1;13;6;3;1;;;;;;;;;;;;
12;12;23;20;16;1;3;0;16;4;3;0;;;;;;;;;;;;
13;13;37;21;18;4;2;0;18;8;2;0;;;;;;;;;;;;
14;14;9;24;15;6;6;2;21;2;2;0;21;3;2;0;;;;;;;;
15;15;16;24;16;5;6;2;27;8;6;3;;;;;;;;;;;;
16;16;23;24;17;6;6;2;27;3;6;0;;;;;;;;;;;;
17;17;30;24;18;0;6;2;25;1;5;3;27;5;6;1;;;;;;;;
18;18;37;24;19;7;4;2;;;;;;;;;;;;;;;;
19;19;42;24;19;3;6;2;25;0;5;1;;;;;;;;;;;;
20;20;49;24;23;4;2;0;23;5;2;0;;;;;;;;;;;;
21;21;9;27;22;7;5;2;;;;;;;;;;;;;;;;
22;22;15;27;26;4;4;3;26;5;4;3;;;;;;;;;;;;
23;23;49;27;24;1;2;1;24;2;2;1;;;;;;;;;;;;
24;24;47;29;30;0;4;1;30;8;4;1;;;;;;;;;;;;
25;25;36;30;29;2;2;0;29;3;2;0;;;;;;;;;;;;
26;26;19;31;27;6;3;2;;;;;;;;;;;;;;;;
27;27;23;31;32;2;7;0;;;;;;;;;;;;;;;;
28;28;30;33;33;7;5;0;29;4;5;2;;;;;;;;;;;;
29;29;36;33;30;5;6;2;31;8;2;3;33;1;5;1;34;2;5;0;;;;
30;30;43;33;35;6;6;0;;;;;;;;;;;;;;;;
31;31;39;36;34;3;2;1;35;2;3;3;;;;;;;;;;;;
32;32;23;39;33;0;6;2;33;6;6;2;;;;;;;;;;;;
33;33;30;39;34;8;5;2;;;;;;;;;;;;;;;;
34;34;36;39;;;;;;;;;;;;;;;;;;;;
35;35;43;40;;;;;;;;;;;;;;;;;;;;
